Nama_Daerah,HLS,PPM,IPM,AHHL,AHHP,kategori
Region_735,8.01,24.81,39.8,70.71,67.94,Perlu Pembangunan
Region_737,14.66,9.48,34.95,68.6,69.15,Perlu Pembangunan
Region_739,17.94,41.3,47.89,77.29,69.45,Perlu Pembangunan
Region_740,17.25,11.39,58.28,62.3,61.18,Perlu Pembangunan
Region_741,19.83,4.29,38.3,60.85,55.75,Perlu Pembangunan
Region_745,8.23,41.1,54.78,56.04,60.99,Perlu Pembangunan
Region_747,11.82,21.6,56.58,68.15,58.59,Perlu Pembangunan
Region_749,10.16,12.04,41.84,54.28,73.53,Perlu Pembangunan
Region_750,14.21,43.38,41.89,72.31,53.95,Perlu Pembangunan
Region_751,19.27,5.23,52.99,77.36,77.86,Perlu Pembangunan
Region_752,12.72,17.51,42.31,59.77,54.39,Perlu Pembangunan
Region_760,16.38,43.56,41.49,55.47,70.08,Perlu Pembangunan
Region_763,11.27,4.96,45.53,77.98,63.15,Perlu Pembangunan
Region_765,4.51,40.57,45.53,76.65,53.03,Perlu Pembangunan
Region_767,14.63,21.18,59.12,56.08,56.8,Perlu Pembangunan
Region_768,7.38,23.86,38.37,55.47,61.71,Perlu Pembangunan
Region_771,9.56,41.17,59.5,64.36,61.96,Perlu Pembangunan
Region_774,15.81,30.08,57.87,72.75,65.4,Perlu Pembangunan
Region_776,6.39,13.46,40.4,72.18,72.41,Perlu Pembangunan
Region_781,10.06,26.83,42.3,66.55,62.21,Perlu Pembangunan
Region_782,12.33,25.56,58.76,63.24,59.28,Perlu Pembangunan
Region_786,10.82,37.38,47.79,56.66,70.5,Perlu Pembangunan
Region_787,4.5,11.73,42.69,64.35,70.45,Perlu Pembangunan
Region_789,15.71,13.04,57.19,61.47,70.95,Perlu Pembangunan
Region_790,4.85,41.22,45.67,76.07,54.63,Perlu Pembangunan
Region_794,16.09,18.58,35.94,59.98,54.1,Perlu Pembangunan
Region_798,19.21,26.89,51.01,70.65,55.89,Perlu Pembangunan
Region_800,6.28,4.84,40.26,56.47,64.89,Perlu Pembangunan
Region_801,16.72,41.31,53.58,63.13,71.45,Perlu Pembangunan
Region_802,6.94,3.23,45.14,55.18,56.22,Perlu Pembangunan
Region_803,15.58,19.27,49.94,55.86,63.34,Perlu Pembangunan
Region_806,4.54,37.66,35.52,75.73,62.64,Perlu Pembangunan
Region_813,6.62,37.65,51.6,77.59,65.01,Perlu Pembangunan
Region_817,5.35,17.62,45.48,75.02,62.07,Perlu Pembangunan
Region_818,14.19,23.82,48.29,77.77,79.14,Perlu Pembangunan
Region_819,10.8,17.79,44.45,62.43,64.65,Perlu Pembangunan
Region_820,11.61,7.58,59.62,64.93,73.36,Perlu Pembangunan
Region_821,17.29,40.94,55.0,79.3,62.42,Perlu Pembangunan
Region_822,13.66,30.28,39.74,77.93,68.55,Perlu Pembangunan
Region_823,17.98,7.13,58.96,61.56,68.17,Perlu Pembangunan
Region_826,17.59,36.78,50.52,67.23,66.65,Perlu Pembangunan
Region_827,11.88,35.94,39.59,59.65,69.65,Perlu Pembangunan
Region_830,6.81,21.7,41.05,68.48,53.23,Perlu Pembangunan
Region_831,4.99,17.14,44.33,53.38,67.65,Perlu Pembangunan
Region_833,7.19,20.07,51.67,53.87,67.88,Perlu Pembangunan
Region_834,11.49,17.55,53.53,60.39,67.07,Perlu Pembangunan
Region_835,5.31,27.43,46.45,64.79,55.12,Perlu Pembangunan
Region_838,12.46,24.38,49.7,74.32,76.8,Perlu Pembangunan
Region_841,17.92,8.31,52.01,78.2,57.4,Perlu Pembangunan
Region_843,7.1,15.72,40.22,54.38,60.77,Perlu Pembangunan
Region_844,15.83,8.32,52.26,69.94,75.11,Perlu Pembangunan
Region_847,12.11,35.32,47.53,70.25,53.49,Perlu Pembangunan
Region_851,16.45,32.89,35.89,70.22,58.83,Perlu Pembangunan
Region_853,5.37,12.48,35.13,75.09,69.05,Perlu Pembangunan
Region_854,13.04,41.51,40.86,75.76,65.51,Perlu Pembangunan
Region_855,17.81,27.92,34.31,70.35,65.79,Perlu Pembangunan
Region_856,18.57,23.38,38.88,79.64,62.85,Perlu Pembangunan
Region_857,16.48,31.5,51.4,75.09,77.82,Perlu Pembangunan
Region_858,16.0,4.07,55.92,58.88,55.04,Perlu Pembangunan
Region_859,12.22,30.0,40.35,71.8,68.03,Perlu Pembangunan
Region_864,11.37,24.33,53.76,57.38,78.88,Perlu Pembangunan
Region_865,19.31,41.0,47.84,57.95,78.6,Perlu Pembangunan
Region_866,5.75,42.7,50.08,74.79,62.62,Perlu Pembangunan
Region_872,13.96,3.76,40.97,74.92,71.65,Perlu Pembangunan
Region_873,5.08,29.68,39.25,57.58,73.75,Perlu Pembangunan
Region_875,17.71,29.26,52.42,54.52,60.67,Perlu Pembangunan
Region_878,5.05,12.25,47.54,70.69,78.08,Perlu Pembangunan
Region_879,5.49,11.14,49.99,75.57,74.37,Perlu Pembangunan
Region_880,7.52,3.59,51.33,56.2,58.69,Perlu Pembangunan
Region_882,14.65,7.93,45.11,55.31,78.1,Perlu Pembangunan
Region_885,11.44,3.94,59.72,67.83,71.86,Perlu Pembangunan
Region_887,17.17,5.98,34.11,72.87,58.69,Perlu Pembangunan
Region_888,15.57,3.46,52.93,76.32,75.21,Perlu Pembangunan
Region_889,6.69,27.34,52.7,64.37,56.39,Perlu Pembangunan
Region_892,17.65,22.23,51.59,56.8,72.48,Perlu Pembangunan
Region_895,6.16,21.43,37.42,66.05,64.41,Perlu Pembangunan
Region_896,11.76,2.5,50.84,78.58,63.98,Perlu Pembangunan
Region_897,10.12,32.19,49.12,73.06,74.97,Perlu Pembangunan
Region_900,9.8,7.63,58.19,77.58,73.64,Perlu Pembangunan
Region_903,16.28,38.2,43.14,68.28,68.27,Perlu Pembangunan
Region_904,10.82,15.27,35.96,79.34,54.19,Perlu Pembangunan
Region_906,5.62,13.85,41.6,63.68,68.0,Perlu Pembangunan
Region_908,10.45,33.21,54.88,63.01,62.02,Perlu Pembangunan
Region_909,10.79,25.39,52.27,67.92,68.24,Perlu Pembangunan
Region_911,18.14,14.75,52.98,64.53,79.22,Perlu Pembangunan
Region_914,5.16,17.32,55.99,60.72,54.69,Perlu Pembangunan
Region_915,7.06,9.33,57.54,69.48,73.53,Perlu Pembangunan
Region_917,19.06,44.32,50.68,56.2,74.6,Perlu Pembangunan
Region_919,14.33,22.61,49.38,59.33,55.06,Perlu Pembangunan
Region_920,16.75,38.75,51.57,78.69,66.99,Perlu Pembangunan
Region_924,12.5,39.58,51.15,63.61,77.2,Perlu Pembangunan
Region_925,4.45,10.66,42.56,61.71,56.86,Perlu Pembangunan
Region_926,14.41,15.6,35.55,55.57,59.05,Perlu Pembangunan
Region_928,4.64,39.86,50.27,55.05,75.28,Perlu Pembangunan
Region_932,15.17,39.63,49.29,60.69,69.77,Perlu Pembangunan
Region_935,16.78,30.41,49.3,72.64,65.21,Perlu Pembangunan
Region_936,14.49,29.23,47.62,77.21,58.75,Perlu Pembangunan
Region_939,13.7,38.64,58.17,70.92,78.98,Perlu Pembangunan
Region_942,11.44,19.49,54.3,62.46,63.37,Perlu Pembangunan
Region_944,12.23,41.56,50.72,76.7,59.87,Perlu Pembangunan
Region_949,18.88,15.12,36.82,56.98,60.71,Perlu Pembangunan
Region_952,5.41,15.82,52.4,55.67,77.97,Perlu Pembangunan
Region_954,4.9,28.11,49.63,62.47,79.83,Perlu Pembangunan
Region_956,18.07,22.19,49.84,71.73,71.38,Perlu Pembangunan
Region_957,15.64,14.28,53.36,79.2,55.25,Perlu Pembangunan
Region_958,17.01,3.23,39.36,64.68,64.75,Perlu Pembangunan
Region_959,17.8,31.46,57.94,64.48,54.33,Perlu Pembangunan
Region_962,19.17,33.63,59.38,66.02,59.42,Perlu Pembangunan
Region_963,17.66,3.91,41.43,70.44,57.01,Perlu Pembangunan
Region_969,15.29,15.7,44.19,70.91,72.91,Perlu Pembangunan
Region_970,14.31,32.08,48.45,72.86,75.92,Perlu Pembangunan
Region_972,12.71,44.12,38.03,60.84,68.58,Perlu Pembangunan
Region_973,6.42,29.69,40.21,56.91,55.98,Perlu Pembangunan
Region_974,11.15,33.45,38.51,62.08,55.53,Perlu Pembangunan
Region_976,5.25,38.03,38.11,76.74,57.25,Perlu Pembangunan
Region_977,18.15,25.3,59.02,69.11,65.21,Perlu Pembangunan
Region_978,8.11,25.1,35.63,63.15,62.67,Perlu Pembangunan
Region_982,14.57,5.71,53.7,78.26,68.74,Perlu Pembangunan
Region_983,8.55,11.9,37.53,56.84,57.56,Perlu Pembangunan
Region_984,7.16,3.79,47.81,71.08,57.56,Perlu Pembangunan
Region_987,16.62,33.54,45.04,76.23,55.78,Perlu Pembangunan
Region_988,15.41,30.0,34.28,70.73,66.61,Perlu Pembangunan
Region_989,18.57,19.31,35.12,57.47,76.41,Perlu Pembangunan
Region_991,12.77,26.56,39.93,68.78,74.39,Perlu Pembangunan
Region_992,5.97,39.75,50.91,75.9,78.25,Perlu Pembangunan
Region_993,18.26,6.97,47.1,76.91,78.73,Perlu Pembangunan
Region_994,16.24,2.69,41.73,61.8,64.09,Perlu Pembangunan
Region_999,11.56,40.35,40.84,65.07,54.86,Perlu Pembangunan
Region_1000,13.92,11.44,56.54,56.09,60.92,Perlu Pembangunan
Region_1004,11.14,33.49,48.34,76.44,58.83,Perlu Pembangunan
Region_1006,8.97,43.86,39.64,59.85,73.77,Perlu Pembangunan
Region_1007,9.39,18.7,57.44,60.53,65.51,Perlu Pembangunan
Region_1008,17.87,16.74,38.1,67.79,56.8,Perlu Pembangunan
Region_1011,12.64,26.97,48.19,59.87,68.78,Perlu Pembangunan
Region_1016,12.33,24.82,43.12,58.84,75.24,Perlu Pembangunan
Region_1018,17.02,41.0,55.89,69.06,61.78,Perlu Pembangunan
Region_1019,7.42,24.81,37.07,72.82,75.66,Perlu Pembangunan
Region_1024,8.17,23.0,45.69,69.09,73.26,Perlu Pembangunan
Region_1026,4.37,8.17,56.29,57.71,73.97,Perlu Pembangunan
Region_1028,6.47,42.67,54.79,62.13,75.18,Perlu Pembangunan
Region_1031,5.68,8.49,54.79,60.37,58.43,Perlu Pembangunan
Region_1033,15.28,7.25,48.58,69.65,68.75,Perlu Pembangunan
Region_1035,12.2,41.79,41.88,77.37,67.16,Perlu Pembangunan
Region_1036,14.2,7.62,50.27,59.03,78.17,Perlu Pembangunan
Region_1037,15.84,28.41,38.44,59.74,53.74,Perlu Pembangunan
Region_1038,15.31,4.0,42.19,55.42,70.98,Perlu Pembangunan
Region_1040,17.84,43.9,39.75,59.28,54.69,Perlu Pembangunan
Region_1043,10.96,24.54,42.51,63.04,69.64,Perlu Pembangunan
Region_1044,14.79,34.4,40.5,53.53,75.25,Perlu Pembangunan
Region_1045,10.61,26.52,49.62,59.08,69.6,Perlu Pembangunan
Region_1047,16.09,42.88,52.66,76.58,68.35,Perlu Pembangunan
Region_1048,12.25,14.64,37.43,66.81,73.87,Perlu Pembangunan
Region_1049,18.72,24.73,42.65,79.67,57.84,Perlu Pembangunan
Region_1050,12.93,7.33,57.24,72.08,60.97,Perlu Pembangunan
Region_1052,18.75,26.56,36.45,74.86,64.11,Perlu Pembangunan
Region_1054,9.37,30.55,44.46,78.74,74.11,Perlu Pembangunan
Region_1056,16.07,20.52,54.13,65.12,76.61,Perlu Pembangunan
Region_1058,17.08,4.13,58.54,62.08,65.76,Perlu Pembangunan
Region_1065,9.01,37.1,47.15,68.83,75.22,Perlu Pembangunan
Region_1067,15.09,25.43,39.92,79.99,70.64,Perlu Pembangunan
Region_1068,14.07,35.84,55.11,61.73,77.72,Perlu Pembangunan
Region_1069,6.12,31.85,34.1,73.09,64.87,Perlu Pembangunan
Region_1071,19.0,20.05,48.4,53.16,61.7,Perlu Pembangunan
Region_1073,15.42,23.09,52.33,73.98,54.8,Perlu Pembangunan
Region_1074,4.2,24.48,53.8,69.43,60.3,Perlu Pembangunan
Region_1081,5.39,5.94,52.35,63.17,79.17,Perlu Pembangunan
Region_1082,13.02,20.46,49.36,67.55,64.7,Perlu Pembangunan
Region_1083,10.98,3.63,40.33,69.02,63.04,Perlu Pembangunan
Region_1084,11.37,39.21,57.24,63.28,70.83,Perlu Pembangunan
Region_1086,9.02,19.81,36.71,72.08,64.77,Perlu Pembangunan
Region_1087,6.05,24.12,44.44,71.76,78.29,Perlu Pembangunan
Region_1089,8.1,44.14,44.74,62.49,57.77,Perlu Pembangunan
Region_1090,18.26,23.05,50.16,75.57,63.3,Perlu Pembangunan
Region_1094,10.1,32.6,35.29,67.48,67.96,Perlu Pembangunan
Region_1098,17.85,26.17,39.95,74.93,59.5,Perlu Pembangunan
Region_1099,7.02,7.7,39.19,72.08,56.55,Perlu Pembangunan
Region_1100,12.25,4.49,54.83,75.62,74.11,Perlu Pembangunan
Region_1102,11.91,25.85,39.42,58.66,59.55,Perlu Pembangunan
Region_1104,13.12,30.5,39.08,68.62,62.2,Perlu Pembangunan
Region_1105,15.87,14.02,50.84,60.25,71.78,Perlu Pembangunan
Region_1107,17.75,37.02,46.49,76.47,78.49,Perlu Pembangunan
Region_1108,10.8,10.44,45.55,75.33,65.25,Perlu Pembangunan
Region_1109,8.0,20.68,35.69,58.31,66.45,Perlu Pembangunan
Region_1110,19.48,30.74,52.9,58.86,78.29,Perlu Pembangunan
Region_1111,18.26,33.63,47.47,68.47,71.9,Perlu Pembangunan
Region_1113,12.47,27.64,39.69,76.18,57.83,Perlu Pembangunan
Region_1114,7.08,14.59,53.51,58.05,77.28,Perlu Pembangunan
Region_1116,5.22,38.67,54.57,67.43,73.84,Perlu Pembangunan
Region_1118,16.1,3.49,52.87,53.55,55.52,Perlu Pembangunan
Region_1122,5.86,17.26,35.65,64.42,64.02,Perlu Pembangunan
Region_1124,11.45,26.75,57.03,62.61,57.46,Perlu Pembangunan
Region_1126,18.85,9.88,51.91,70.94,73.35,Perlu Pembangunan
Region_1127,10.39,13.45,42.79,71.74,68.73,Perlu Pembangunan
Region_1129,17.56,11.55,40.15,77.07,59.14,Perlu Pembangunan
Region_1133,12.29,3.04,53.9,75.78,72.58,Perlu Pembangunan
Region_1135,13.05,22.81,53.99,55.53,73.81,Perlu Pembangunan
Region_1136,14.03,16.35,59.6,56.5,59.58,Perlu Pembangunan
Region_1138,12.15,40.96,40.24,54.73,64.58,Perlu Pembangunan
Region_1144,7.53,15.59,50.21,58.66,74.41,Perlu Pembangunan
Region_1147,8.8,14.07,43.44,72.81,62.7,Perlu Pembangunan
Region_1148,9.51,13.72,58.26,63.98,53.53,Perlu Pembangunan
Region_1151,13.89,3.61,57.29,72.61,70.48,Perlu Pembangunan
Region_1153,16.73,31.15,37.92,65.05,64.71,Perlu Pembangunan
Region_1156,9.29,20.27,36.81,60.84,77.45,Perlu Pembangunan
Region_1159,16.11,23.46,53.83,73.74,62.61,Perlu Pembangunan
Region_1160,9.89,33.26,57.26,63.22,70.58,Perlu Pembangunan
Region_1164,11.66,44.26,56.14,55.44,67.9,Perlu Pembangunan
Region_1166,4.71,11.84,47.88,68.21,67.34,Perlu Pembangunan
Region_1167,19.18,25.25,50.33,58.13,71.68,Perlu Pembangunan
Region_1168,15.61,28.07,49.06,68.97,73.0,Perlu Pembangunan
Region_1169,14.66,11.46,55.5,54.09,72.48,Perlu Pembangunan
Region_1173,7.87,18.07,47.77,61.2,65.18,Perlu Pembangunan
Region_1174,18.09,32.62,47.23,61.96,59.12,Perlu Pembangunan
Region_1177,11.15,2.34,52.16,63.61,68.78,Perlu Pembangunan
Region_1180,8.92,33.73,35.57,53.49,61.67,Perlu Pembangunan
Region_1181,17.97,18.47,54.97,72.08,70.26,Perlu Pembangunan
Region_1182,10.49,28.15,58.33,63.65,72.36,Perlu Pembangunan
Region_1183,6.01,43.07,54.13,56.49,63.07,Perlu Pembangunan
Region_1184,18.2,25.71,56.25,56.29,73.58,Perlu Pembangunan
Region_1185,7.24,22.5,43.51,74.52,60.3,Perlu Pembangunan
Region_1186,19.73,44.52,50.59,77.63,70.91,Perlu Pembangunan
Region_1190,19.47,10.0,49.3,68.56,57.92,Perlu Pembangunan
Region_1192,7.9,17.51,45.34,72.39,61.14,Perlu Pembangunan
Region_1194,9.32,43.89,42.61,79.38,72.91,Perlu Pembangunan
Region_1195,18.89,16.96,36.06,54.97,76.42,Perlu Pembangunan
Region_1197,9.9,18.7,34.9,60.34,79.56,Perlu Pembangunan
Region_1202,11.73,38.53,56.65,56.12,64.21,Perlu Pembangunan
Region_1205,8.3,2.4,54.3,78.52,53.81,Perlu Pembangunan
Region_1207,19.33,19.61,38.86,62.2,67.01,Perlu Pembangunan
Region_1208,11.42,19.67,56.53,62.18,54.16,Perlu Pembangunan
Region_1209,19.09,10.56,41.26,64.78,75.99,Perlu Pembangunan
Region_1211,8.69,34.9,45.94,68.17,77.71,Perlu Pembangunan
Region_1212,9.78,36.76,36.48,75.9,58.1,Perlu Pembangunan
Region_1213,12.07,25.63,53.21,55.58,53.56,Perlu Pembangunan
Region_1216,14.41,35.38,46.31,62.86,76.84,Perlu Pembangunan
Region_1219,16.27,23.62,47.89,79.06,54.38,Perlu Pembangunan
Region_1221,4.34,44.77,51.23,67.26,78.13,Perlu Pembangunan
Region_1223,18.04,10.97,59.25,77.55,70.5,Perlu Pembangunan
Region_1224,4.8,18.29,41.2,58.48,55.22,Perlu Pembangunan
Region_1226,5.27,34.77,51.08,73.49,55.33,Perlu Pembangunan
Region_1230,14.65,37.77,49.62,60.61,73.28,Perlu Pembangunan
Region_1231,13.48,40.37,53.57,75.09,69.93,Perlu Pembangunan
Region_1232,16.04,5.27,46.53,53.34,57.21,Perlu Pembangunan
Region_1233,12.39,17.05,57.08,68.67,70.01,Perlu Pembangunan
Region_1235,12.17,39.1,59.26,66.01,77.58,Perlu Pembangunan
Region_1236,6.52,44.79,37.39,77.17,77.02,Perlu Pembangunan
Region_1237,14.15,8.65,47.86,72.13,78.93,Perlu Pembangunan
Region_1238,10.74,27.5,39.34,73.87,62.43,Perlu Pembangunan
Region_1239,5.69,31.29,54.45,62.17,74.44,Perlu Pembangunan
Region_1244,12.97,2.8,46.26,71.91,79.14,Perlu Pembangunan
Region_1245,11.29,39.83,43.59,74.91,77.87,Perlu Pembangunan
Region_1250,18.36,27.57,50.73,62.23,61.0,Perlu Pembangunan
Region_1251,6.6,31.53,51.12,77.68,71.95,Perlu Pembangunan
Region_1252,14.09,21.3,49.12,79.0,67.46,Perlu Pembangunan
Region_1253,19.06,2.77,37.78,56.28,72.57,Perlu Pembangunan
Region_1257,11.38,34.49,51.08,59.52,79.49,Perlu Pembangunan
Region_1258,18.44,25.71,45.25,62.12,69.43,Perlu Pembangunan
Region_1260,5.99,5.55,54.66,59.34,53.23,Perlu Pembangunan
Region_1261,12.05,11.65,47.1,68.29,67.69,Perlu Pembangunan
Region_1263,11.38,31.57,54.47,73.88,70.37,Perlu Pembangunan
Region_1265,4.97,36.07,50.09,66.33,58.09,Perlu Pembangunan
Region_1267,7.6,26.79,43.88,72.36,70.12,Perlu Pembangunan
Region_1268,14.53,15.96,59.64,61.97,79.04,Perlu Pembangunan
Region_1269,8.89,9.68,47.44,75.31,78.6,Perlu Pembangunan
Region_1270,18.26,13.65,34.35,76.87,65.02,Perlu Pembangunan
Region_1279,5.57,15.77,36.79,60.61,53.48,Perlu Pembangunan
Region_1280,7.4,26.88,55.82,70.18,71.68,Perlu Pembangunan
Region_1283,8.75,21.54,53.88,73.8,69.38,Perlu Pembangunan
Region_1289,18.92,16.28,45.04,63.93,69.99,Perlu Pembangunan
Region_1291,13.36,14.05,35.56,61.05,59.81,Perlu Pembangunan
Region_1293,16.34,41.15,37.66,62.84,75.81,Perlu Pembangunan
Region_1295,19.16,15.8,38.56,56.11,59.08,Perlu Pembangunan
Region_1297,11.76,30.27,58.11,73.73,71.68,Perlu Pembangunan
Region_1299,6.41,25.35,57.99,53.25,55.82,Perlu Pembangunan
Region_1300,12.66,23.99,42.51,74.27,70.69,Perlu Pembangunan
Region_1301,13.77,28.91,46.83,73.38,56.21,Perlu Pembangunan
Region_1302,10.38,20.31,49.28,63.26,66.32,Perlu Pembangunan
Region_1306,15.81,41.73,35.35,72.83,59.4,Perlu Pembangunan
Region_1312,18.93,35.6,38.48,62.8,73.72,Perlu Pembangunan
Region_1315,4.83,29.09,38.49,60.24,54.2,Perlu Pembangunan
Region_1316,17.92,27.39,35.88,69.19,61.54,Perlu Pembangunan
Region_1317,9.95,40.73,34.98,66.46,72.53,Perlu Pembangunan
Region_1321,7.48,19.96,35.16,53.38,76.71,Perlu Pembangunan
